Marca.eagle,"[[21, 7], [28, 7]]"
Corda.nylon,"[[21, 4], [22, 4], [26, 3], [27, 4], [28, 4], [29, 1], [31, 3], [40, 3], [41, 2], [43, 2], [47, 4], [51, 3], [52, 3], [55, 5], [57, 5], [58, 3]]"
Categoria.elétrico,"[[21, 2], [23, 4], [24, 2], [25, 3], [28, 3], [30, 1], [31, 2], [32, 2], [33, 2], [34, 1], [35, 1], [36, 2], [37, 2], [38, 2], [39, 1], [40, 2], [41, 1], [42, 1], [43, 1], [44, 2], [45, 1], [48, 1], [49, 1], [50, 1], [52, 2], [53, 3], [54, 3], [55, 2], [56, 4], [57, 4], [59, 5], [60, 4]]"
Escala.rosewood,"[[21, 2], [23, 2], [24, 1], [25, 2], [27, 2], [28, 2], [29, 1], [30, 1], [31, 2], [32, 2], [33, 1], [34, 1], [38, 2], [40, 2], [42, 2], [44, 2], [45, 2], [46, 2], [47, 3], [48, 2], [49, 2], [50, 4], [53, 2], [54, 2], [56, 4], [57, 3], [58, 2], [59, 2], [60, 2]]"
Tampo.spruce,"[[21, 2], [23, 3], [25, 3], [28, 2], [29, 1], [31, 1], [32, 1], [33, 1], [34, 1], [35, 2], [36, 1], [37, 2], [38, 1], [39, 2], [40, 1], [44, 2], [45, 2], [46, 2], [50, 2], [51, 2], [52, 2], [53, 2], [54, 2], [55, 2], [58, 2], [59, 1], [60, 1]]"
Marca.phx,"[[22, 5], [26, 4]]"
Categoria.acústico,"[[22, 4], [26, 3], [27, 3], [46, 1], [51, 2], [58, 2]]"
Tampo.basswood,"[[22, 2], [24, 2], [26, 2]]"
Marca.strinberg,"[[23, 5], [42, 4], [45, 6], [48, 6], [49, 6]]"
Corda.aço,"[[23, 3], [24, 2], [25, 3], [30, 1], [32, 3], [33, 2], [34, 2], [35, 2], [36, 2], [37, 1], [38, 3], [39, 1], [42, 3], [44, 1], [45, 2], [46, 1], [48, 2], [49, 2], [53, 4], [54, 4], [56, 4], [59, 3], [60, 3]]"
Marca.giannini,"[[24, 4]]"
Marca.tagima,"[[25, 9], [27, 4], [29, 4], [31, 4], [32, 3], [33, 3], [36, 4], [38, 3], [40, 4], [56, 7], [57, 7]]"
Tampo.linden,"[[27, 4], [30, 1], [42, 4], [48, 3], [49, 3]]"
Marca.sigma,"[[34, 4], [35, 3], [39, 3]]"
Escala.pau ferro,"[[35, 1], [39, 1], [51, 5], [52, 3], [55, 4]]"
Marca.martin,"[[37, 4]]"
Escala.richlite,"[[37, 2]]"
Marca.madrid,"[[41, 4], [43, 4]]"
Escala.hardwood,"[[41, 1], [43, 1]]"
Tampo.birch,"[[41, 1], [43, 1]]"
Marca.fender,"[[44, 3]]"
Marca.takamine,"[[46, 6], [50, 6]]"
Marca.epiphone,"[[47, 9]]"
Tampo.cedar,"[[47, 2], [56, 1], [57, 1]]"
Marca.di giorgio,"[[51, 7], [52, 7], [53, 8], [54, 8], [55, 7]]"
Marca.yamaha,"[[58, 5]]"
Marca.michael,"[[59, 10], [60, 10]]"
